Job Title,Skills,Job Description
ACCESSIBILITY SPECIALIST,"Web Accessibility Guidelines, HTML, CSS, JavaScript, User Experience Design","Ensures digital products meet accessibility standards, enhancing usability for all users."
ADMIN BIG DATA,"Big Data Management, Hadoop, Spark, Data Warehousing, SQL","Administers and manages large datasets, ensuring data integrity and accessibility."
AGILE PROJECT MANAGER,"Agile Methodologies, Scrum, Kanban, Project Management Tools, Leadership","Leads projects using agile frameworks, focusing on iterative development and team collaboration."
ANDROID DEVELOPER,"Java, Kotlin, Android SDK, Mobile App Development, UI/UX Design","Develops mobile applications for Android devices, integrating features and ensuring user experience."
ANSIBLE AUTOMATION ENGINEER,"Ansible, Automation Scripts, Linux, Networking, Cloud Computing","Designs and implements automation solutions using Ansible, streamlining IT processes."
APPLICATION SECURITY ENGINEER,"Security Protocols, Penetration Testing, Secure Coding Practices, Compliance",Develops secure applications by integrating security measures and testing vulnerabilities.
ARTIFACTORY ADMINISTRATOR,"Artifactory, Repository Management, DevOps Tools, CI/CD Pipelines","Manages artifact repositories, ensuring efficient deployment and version control."
ARTIFACTORY ENGINEER,"Artifactory, DevOps Practices, Continuous Integration, Software Packaging",Configures and optimizes Artifactory for efficient software deployment and management.
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING LEADER,"AI/ML Frameworks, Leadership, Strategic Planning, Data Science","Leads AI/ML projects, developing strategies and overseeing teams to integrate AI solutions."
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.LEADER,"Advanced AI/ML, Leadership, Strategic Vision, Team Management","Leads senior AI/ML projects, sets strategic direction, and manages teams."
ARTIFICIAL INTELLIGENCE ARCHITECT,"AI/ML Frameworks, System Architecture, Cloud Computing, Data Modeling","Designs and implements AI systems architecture, ensuring scalability and efficiency."
ARTIFICIAL INTELLIGENCE RESEARCHER,"Research Methodologies, AI/ML Algorithms, Python, Data Analysis","Conducts research to advance AI technologies, develops new algorithms, and publishes findings."
AWS DEVOPS ENGINEER,"AWS Services, DevOps Practices, CI/CD Pipelines, Automation","Implements DevOps practices on AWS, automating processes and ensuring system reliability."
AWS SOLUTIONS ARCHITECT,"AWS Services, Cloud Architecture, Solution Design, Cost Optimization","Designs scalable and cost-effective solutions on AWS, ensuring alignment with business needs."
AZURE DEVOPS ENGINEER,"Azure Services, DevOps Practices, CI/CD Pipelines, Automation","Implements DevOps practices on Azure, automating processes and ensuring system reliability."
BAMBOO ENGINEER,"Bamboo, CI/CD Pipelines, Build Automation, Software Configuration Management",Configures and manages Bamboo for continuous integration and delivery.
BIG DATA ARCHITECT,"Big Data Technologies, Hadoop, Spark, Data Warehousing, System Design","Designs and oversees big data solutions, ensuring scalability and performance."
BIG DATA ENGINEER,"Hadoop, Spark, ETL Processes, Data Processing, Database Management","Develops and maintains big data infrastructure, ensuring data quality and accessibility."
BIG DATA SPECIALIST,"Big Data Technologies, Data Analysis, SQL, Data Mining",Analyzes and interprets large datasets to provide insights and support decision-making.
BITBUCKET ENGINEER,"Bitbucket, Git, Version Control, CI/CD Integration",Manages and configures Bitbucket for efficient version control and collaboration.
BLOCKCHAIN DEVELOPER,"Blockchain Technologies, Solidity, Cryptography, Smart Contracts","Develops blockchain applications and smart contracts, ensuring security and functionality."
BUILD AND RELEASE ENGINEER,"CI/CD Pipelines, Build Systems, Automation, Configuration Management","Manages build and release processes, ensuring smooth and reliable software deployments."
BUILD ENGINEER,"Build Systems, Scripting, Automation, Software Configuration Management","Develops and maintains build systems, automating software compilation and testing."
BUSINESS SYSTEMS ANALYST,"Requirements Gathering, Process Analysis, System Design, Documentation","Analyzes business processes and system requirements, providing solutions to improve efficiency."
